Name of Issuer,CUSIP,Value,Shares
AMERICAN EXPRESS CO,025816109,118612,1952142
AMERICAN EXPRESS CO,025816109,1046615,17225400
AMERICAN EXPRESS CO,025816109,51028,839832
AMERICAN EXPRESS CO,025816109,124989,2057100
AMERICAN EXPRESS CO,025816109,485754,7994634
AMERICAN EXPRESS CO,025816109,7299821,120141879
AMERICAN EXPRESS CO,025816109,85047,1399713
APPLE INC,037833100,7887,82500
APPLE INC,037833100,974522,10193747
APPLE INC,037833100,443976,4644105
APPLE INC,037833100,29383,307350
BANK OF NEW YORK MELLON CORP,064058100,258993,6666492
BANK OF NEW YORK MELLON CORP,064058100,69694,1793915
BANK OF NEW YORK MELLON CORP,064058100,239331,6160384
BANK OF NEW YORK MELLON CORP,064058100,21368,550021
BANK OF NEW YORK MELLON CORP,064058100,219751,5656400
CHARTER COMMUNICATIONS INC N,16119P108,582675,2548437
CHARTER COMMUNICATIONS INC N,16119P108,1552249,6789054
COCA COLA CO,191216100,36264,800000
COCA COLA CO,191216100,3639237,80283200
COCA COLA CO,191216100,82682,1824000
COCA COLA CO,191216100,653260,14411200
COCA COLA CO,191216100,828560,18278400
COCA COLA CO,191216100,12687468,279891200
COCA COLA CO,191216100,161012,3552000
COCA COLA CO,191216100,43517,960000
COSTCO WHSL CORP NEW,22160K105,680511,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1550427,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1431462,18513482
DEERE & CO,244199105,10683,131827
DEERE & CO,244199105,187402,2312467
DEERE & CO,244199105,9738,120165
DEERE & CO,244199105,1490108,18387313
DEERE & CO,244199105,81646,1007474
GENERAL ELECTRIC CO,369604103,18539,588900
GENERAL ELECTRIC CO,369604103,16859,535532
GENERAL ELECTRIC CO,369604103,157347,4998302
GENERAL ELECTRIC CO,369604103,1124,35702
GENERAL ELECTRIC CO,369604103,133745,4248556
GENERAL ELECTRIC CO,369604103,5619,178510
GENERAL MTRS CO,37045V100,392347,13863853
GENERAL MTRS CO,37045V100,704308,24887209
GENERAL MTRS CO,37045V100,283321,10011338
GENERAL MTRS CO,37045V100,35024,1237600
GOLDMAN SACHS GROUP INC,38141G104,650181,4375968
GOLDMAN SACHS GROUP INC,38141G104,978184,6583551
GRAHAM HLDGS CO,384637104,23579,48165
GRAHAM HLDGS CO,384637104,29084,59410
INTERNATIONAL BUSINESS MACHS,459200101,12822,84480
INTERNATIONAL BUSINESS MACHS,459200101,42195,278000
INTERNATIONAL BUSINESS MACHS,459200101,109477,721288
INTERNATIONAL BUSINESS MACHS,459200101,77226,508800
INTERNATIONAL BUSINESS MACHS,459200101,127966,843100
INTERNATIONAL BUSINESS MACHS,459200101,11929571,78597782
INTERNATIONAL BUSINESS MACHS,459200101,30182,198853
JOHNSON & JOHNSON,478160104,39677,327100
KINDER MORGAN INC DEL,49456B101,496708,26533525
KRAFT HEINZ CO,500754106,28812169,325634818
LEE ENTERPRISES INC,523768109,170,88863
LIBERTY MEDIA CORP DELAWARE,531229409,61622,1965000
LIBERTY MEDIA CORP DELAWARE,531229409,218924,6980980
LIBERTY MEDIA CORP DELAWARE,531229409,29271,933391
LIBERTY MEDIA CORP DELAWARE,531229409,3783,120629
LIBERTY MEDIA CORP DELAWARE,531229607,96777,3135000
LIBERTY MEDIA CORP DELAWARE,531229607,498421,16145817
LIBERTY MEDIA CORP DELAWARE,531229607,15702,508654
LIBERTY MEDIA CORP DELAWARE,531229607,6499,210529
LIBERTY MEDIA CORP DELAWARE,531229854,14868,783750
LIBERTY MEDIA CORP DELAWARE,531229854,76572,4036453
LIBERTY MEDIA CORP DELAWARE,531229854,2412,127163
LIBERTY MEDIA CORP DELAWARE,531229854,998,52632
LIBERTY MEDIA CORP DELAWARE,531229870,9403,491250
LIBERTY MEDIA CORP DELAWARE,531229870,33404,1745244
LIBERTY MEDIA CORP DELAWARE,531229870,4466,233347
LIBERTY MEDIA CORP DELAWARE,531229870,577,30157
M & T BK CORP,55261F104,64554,546000
M & T BK CORP,55261F104,19484,164795
M & T BK CORP,55261F104,552281,4671245
MASTERCARD INC,57636Q104,434555,4934756
MEDIA GEN INC NEW,58441K100,59672,3471309
MONDELEZ INTL INC,609207105,26305,578000
MOODYS CORP,615369105,1122077,11973928
MOODYS CORP,615369105,1189728,12695850
NOW INC,67011P100,11967,659694
NOW INC,67011P100,21149,1165875
PHILLIPS 66,718546104,484133,6102000
PHILLIPS 66,718546104,62044,782000
