Name of Issuer,CUSIP,Value,Shares
AMERICAN AIRLS GROUP INC,02376R102,1079206,20742000
AMERICAN AIRLS GROUP INC,02376R102,1222611,23498200
AMERICAN AIRLS GROUP INC,02376R102,91562,1759800
AMERICAN EXPRESS CO,025816109,193867,1952142
AMERICAN EXPRESS CO,025816109,1710654,17225400
AMERICAN EXPRESS CO,025816109,83404,839832
AMERICAN EXPRESS CO,025816109,204291,2057100
AMERICAN EXPRESS CO,025816109,793947,7994634
AMERICAN EXPRESS CO,025816109,11931290,120141879
AMERICAN EXPRESS CO,025816109,139005,1399713
APPLE INC,037833100,600386,3547753
APPLE INC,037833100,162461,960000
APPLE INC,037833100,2360928,13951000
APPLE INC,037833100,115246,681000
APPLE INC,037833100,2603730,15385747
APPLE INC,037833100,514121,3038000
APPLE INC,037833100,2023652,11958000
APPLE INC,037833100,19324452,114190462
APPLE INC,037833100,114738,678000
APPLE INC,037833100,159753,944000
BANK AMER CORP,060505104,181843,6160000
BANK AMER CORP,060505104,351288,11900000
BANK AMER CORP,060505104,4132800,140000000
BANK AMER CORP,060505104,165312,5600000
BANK AMER CORP,060505104,61992,2100000
BANK AMER CORP,060505104,9203746,311780000
BANK AMER CORP,060505104,16531,560000
BANK AMER CORP,060505104,4814712,163100000
BANK AMER CORP,060505104,826560,28000000
BANK AMER CORP,060505104,289296,9800000
BANK OF NEW YORK MELLON CORP,064058100,404556,7511249
BANK OF NEW YORK MELLON CORP,064058100,115691,2148000
BANK OF NEW YORK MELLON CORP,064058100,96620,1793915
BANK OF NEW YORK MELLON CORP,064058100,24614,457000
BANK OF NEW YORK MELLON CORP,064058100,41795,776000
BANK OF NEW YORK MELLON CORP,064058100,331798,6160384
BANK OF NEW YORK MELLON CORP,064058100,394201,7319000
BANK OF NEW YORK MELLON CORP,064058100,207601,3854463
BANK OF NEW YORK MELLON CORP,064058100,1543561,28658772
BANK OF NEW YORK MELLON CORP,064058100,115260,2140000
CHARTER COMMUNICATIONS INC N,16119P108,571245,1700337
CHARTER COMMUNICATIONS INC N,16119P108,2280851,6789054
COCA COLA CO,191216100,36704,800000
COCA COLA CO,191216100,3683393,80283200
COCA COLA CO,191216100,83685,1824000
COCA COLA CO,191216100,661186,14411200
COCA COLA CO,191216100,687760,14990400
COCA COLA CO,191216100,12992262,283179200
COCA COLA CO,191216100,162966,3552000
COCA COLA CO,191216100,44045,960000
COSTCO WHSL CORP NEW,22160K105,806526,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1448763,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1337599,18513482
DELTA AIR LINES INC DEL,247361702,391615,6993123
DELTA AIR LINES INC DEL,247361702,2582567,46117272
GENERAL MTRS CO,37045V100,224332,5472853
GENERAL MTRS CO,37045V100,1020127,24887209
GENERAL MTRS CO,37045V100,344412,8402338
GENERAL MTRS CO,37045V100,460629,11237600
GOLDMAN SACHS GROUP INC,38141G104,1114822,4375968
