Name of Issuer,CUSIP,Value,Shares
AECOM,00766T100,35843,1205632
AECOM,00766T100,5328,179225
AECOM,00766T100,18424,619714
AERCAP HOLDINGS NV,N00985106,276291,7178252
AERCAP HOLDINGS NV,N00985106,64421,1673700
AERCAP HOLDINGS NV,N00985106,142695,3707326
AERCAP HOLDINGS NV,N00985106,7969,207030
AMAYA INC,02314M108,36544,2257384
AMAYA INC,02314M108,8826,545200
AMAYA INC,02314M108,18780,1160100
AMERCO,023586100,40723,125600
AMERCO,023586100,9759,30100
AMERCO,023586100,20848,64300
APPLE INC,037833100,340596,3014924
APPLE INC,037833100,66107,585176
APPLE INC,037833100,176683,1563980
APPLE INC,037833100,3430,30360
ARRIS INTL INC,G0551A103,30877,1089900
ARRIS INTL INC,G0551A103,6193,218600
ARRIS INTL INC,G0551A103,14825,523300
AVANGRID INC,05351W103,74786,1790000
AVANGRID INC,05351W103,16077,384800
AVANGRID INC,05351W103,38438,920000
CALPINE CORP,131347304,81503,6448000
CALPINE CORP,131347304,18418,1457100
CALPINE CORP,131347304,42151,3334700
CHEMOURS CO,163851108,151992,9499486
CHEMOURS CO,163851108,31766,1985400
CHEMOURS CO,163851108,78117,4882300
CIGNA CORPORATION,125509109,32228,247300
CIGNA CORPORATION,125509109,7897,60600
CIGNA CORPORATION,125509109,16564,127100
CNX COAL RES LP,12592V100,50354,3248638
CNX COAL RES LP,12592V100,11149,719300
CNX COAL RES LP,12592V100,23568,1520500
CONSOL ENERGY INC,20854P109,192485,10025267
CONSOL ENERGY INC,20854P109,42749,2226500
CONSOL ENERGY INC,20854P109,106056,5523749
CONSOL ENERGY INC,20854P109,1864,97100
DILLARDS INC,254067101,67669,1073942
DILLARDS INC,254067101,15223,241600
DILLARDS INC,254067101,34775,551900
DILLARDS INC,254067101,4047,64230
DSW INC,23334L102,41996,2050600
DSW INC,23334L102,9480,462900
DSW INC,23334L102,21719,1060500
F M C CORP,302491303,20361,421200
F M C CORP,302491303,4761,98500
F M C CORP,302491303,9663,199900
GENERAL MTRS CO,37045V100,305662,9621098
GENERAL MTRS CO,37045V100,73366,2309300
GENERAL MTRS CO,37045V100,156455,4924602
GENERAL MTRS CO,37045V100,4607,145000
GEO GROUP INC NEW,36162J106,3903,164133
GEO GROUP INC NEW,36162J106,937,39400
GEO GROUP INC NEW,36162J106,1988,83600
GREEN BRICK PARTNERS INC,392709101,142004,17191821
GREEN BRICK PARTNERS INC,392709101,28636,3466793
GREEN BRICK PARTNERS INC,392709101,28580,3460054
IAC INTERACTIVECORP,44919P508,42770,684654
IAC INTERACTIVECORP,44919P508,20321,325296
IAC INTERACTIVECORP,44919P508,747,11950
LIBERTY GLOBAL PLC,G5480U104,25812,755165
LIBERTY GLOBAL PLC,G5480U104,3408,99709
LIBERTY GLOBAL PLC,G5480U104,13267,388144
LIBERTY GLOBAL PLC,G5480U120,62189,1882818
LIBERTY GLOBAL PLC,G5480U120,14677,444347
LIBERTY GLOBAL PLC,G5480U120,31960,967615
MICHAEL KORS HLDGS LTD,G60754101,81501,1741850
MICHAEL KORS HLDGS LTD,G60754101,19568,418200
MICHAEL KORS HLDGS LTD,G60754101,41725,891752
MICHAEL KORS HLDGS LTD,G60754101,707,15100
MYLAN N V,N59465109,139697,3664652
MYLAN N V,N59465109,32770,859648
MYLAN N V,N59465109,71502,1875700
PVH CORP,693656100,38616,349470
PVH CORP,693656100,19857,179700
QUORUM HEALTH CORP,74909E106,10646,1697950
QUORUM HEALTH CORP,74909E106,5040,803850
RITE AID CORP,767754104,58798,7646035
RITE AID CORP,767754104,14441,1877900
RITE AID CORP,767754104,30138,3919100
TAKE-TWO INTERACTIVE SOFTWAR,874054109,40947,908311
TAKE-TWO INTERACTIVE SOFTWAR,874054109,21182,469882
TERRAFORM GLOBAL INC,88104M101,4574,1112891
TERRAFORM GLOBAL INC,88104M101,2141,520900
TERRAFORM PWR INC,88104R100,14563,1046925
TERRAFORM PWR INC,88104R100,6692,481100
TIME WARNER INC,887317303,176143,2212574
TIME WARNER INC,887317303,38213,480000
TIME WARNER INC,887317303,91101,1144335
TIME WARNER INC,887317303,2102,26400
TRI POINTE GROUP INC,87265H109,16003,1214182
TRI POINTE GROUP INC,87265H109,3751,284600
TRI POINTE GROUP INC,87265H109,7575,574700
UNITED STATES STL CORP NEW,912909108,33493,1775900
UNITED STATES STL CORP NEW,912909108,7519,398700
UNITED STATES STL CORP NEW,912909108,17261,915200
VANECK VECTORS ETF TR,92189F106,129180,4887635
VANECK VECTORS ETF TR,92189F106,19602,741650
VANECK VECTORS ETF TR,92189F106,66392,2512011
VOYA FINL INC,929089100,85467,2965560
VOYA FINL INC,929089100,19563,678800
VOYA FINL INC,929089100,43920,1523941
YAHOO INC,984332106,108185,2510100
YAHOO INC,984332106,25123,582900
YAHOO INC,984332106,55603,1290100
YELP INC,985817105,55052,1320200
YELP INC,985817105,12314,295300
YELP INC,985817105,28544,684500
