Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4070,30000
3M Company,88579y101,23605,174000
Accenture,G1151C101,797,10000
Accenture,G1151C101,7972,100000
Air Products & Chemicals,009158106,2857,24000
Alleghany Corporation,017175100,1763,4328
American Express,025816109,900,10000
American Express,025816109,30520,339000
Anheuser-Busch Inbev ADR,03524A108,43173,410000
Apollo Global Management - A,037612306,5788,182000
Archer Daniels,039483102,59705,1376000
Automatic Data Processing,053015103,40770,527700
Berkshire Hathaway Class B,084670702,60623,485100
Berkshire Hathaway Class B,084670702,128283,1026507
"Berkshire Hathaway, Inc.",084670108,51521,275
"Berkshire Hathaway, Inc.",084670108,150442,803
Blackrock Inc,09247X101,23272,74000
Blackstone Group,09253U108,10607,319000
Brookfield Asset Management,112585104,17565,430000
Brookfield Asset Management,112585104,113095,2768548
Brookfield Property Partners,G16249107,3150,168439
Brown & Brown,115236101,11247,365628
Brown Forman Class A,115637100,37484,421500
Brown-Forman Class B,115637209,9451,105375
CVS Corporation,126650100,7187,96000
Calumet,131476103,517,20000
Capital One,14040H105,13734,178000
Carlyle Group,14309L102,7836,223000
Carmax,143130102,10998,235000
Carmax,143130102,221274,4728070
Caterpillar Inc,149123101,23948,241000
Charles Schwab,808513105,28888,1057000
Chevron,166764100,11653,98000
Chubb Corp,171232101,3393,38000
Cisco,17275R102,516,23000
Coca Cola Co,191216100,5026,130000
Colfax Corporation,194014106,77398,1085070
Copart Inc,217204106,17831,490000
Core Labs NV,N22717107,1984,10000
Costco,22160K105,558,5000
Costco,22160K105,3797,34000
Culp Inc,230215105,197,10000
Diageo PLC,25243Q205,40928,328500
Diageo PLC,25243Q205,108829,873500
Disney,254687106,118864,1484500
ENI Spa ADR,26874R108,8378,167000
Ecolab,278865100,7559,70000
Emerson Electric,291011104,10554,158000
Expeditors Int'l Wash Inc,302130109,5429,137000
Exxon Corporation,30231G102,19516,199800
Exxon Corporation,30231G102,65348,669000
Factset Research,303075105,8840,82000
Fairfax Financial Holdings Ltd,303901102,85366,197104
Fairfax Financial Holdings Ltd,303901102,35668,82355
Federated Investors,314211103,305,10000
Federated Investors,314211103,64867,2124000
Fidelity National Financial,31620R105,2389,76000
General Dynamics,369550108,42152,387000
General Electric,369604103,68091,2630000
Google,38259P508,13931,12500
Graham Holdings Co,384637104,3659,5200
"Hasbro, Inc",418056107,12181,219000
Heritage Crystal Clean Inc,42726M106,2793,154041
Home Depot,437076102,1583,20000
Home Depot,437076102,71217,900000
Illinois Tool Works,452308109,18706,230000
Intel,458140100,1549,60000
Intel,458140100,24033,931000
International Game Technology,459902102,3515,250000
International Game Technology,459902102,9350,665000
Investors Title Company,461804106,16189,213300
Johnson and Johnson,478160104,5403,55000
Johnson and Johnson,478160104,51001,519200
KKR & Co LLC,48248M102,7377,323000
Liberty Media,531229102,22878,175000
Loews Corporation,540424108,9250,210000
Lowes,548661107,4645,95000
Lowes,548661107,21760,445000
MSCI,55354g100,1420,33000
Marriott International,571903202,0,0
Marriott International,571903202,72987,1302869
Marsh & McLennan,571748102,592,12000
"Mastercard, Inc",57636Q104,5976,80000
Mattel,577081102,8945,223000
McDonalds,580135101,17743,181000
McGraw Hill Financial,580645109,4578,60000
Microsoft Corp,594918104,33530,818000
Monsanto Co,61166W101,3754,33000
Moody's Corp,615369105,16419,207000
Mosaic Company,61945c103,7750,155000
National Oilwell,637071101,24295,312000
Nike,654106103,8863,120000
Norfolk Southern,655844108,8940,92000
Northern Trust Corp,665859104,9178,140000
Novo-Nordisk A/S,670100205,49074,1075000
Oracle Corp,68389x105,25855,632000
Patterson Companies Inc.,703395103,6055,145000
Paychex,704326107,6390,150000
Pepsico,713448108,10797,129300
Philip Morris International,718172109,9374,114500
Potash Corp,73755L107,2898,80000
Procter & Gamble,742718109,7657,95000
RLI Corporation,749607107,52967,1197272
"Rollins, Inc.",775711104,2268,75000
"Ross Stores, Inc",778296103,1646,23000
SEI Investments Co,784117103,7629,227000
Schlumberger,806857108,25350,260000
Starz Liberty Capital,85571Q102,387,12000
Synalloy Corporation,871565107,6970,485343
Synalloy Corporation,871565107,4308,300000
T.Rowe Price,74144T108,906,11000
T.Rowe Price,74144T108,19682,239000
Target,87612E106,1997,33000
Teva Pharmaceuticals,881624209,36671,694000
The Travelers Companies Inc,89417e109,5191,61000
Unilever PLC ADR,904767704,25967,607000
United Health Group Inc,91324P102,49030,598000
United Parcel Service,911312106,69675,715500
United Technologies,913017109,6193,53000
Universal Technical Institute,913915104,635,49000
Visa,92826C839,31839,147500
W.P. Carey,92936U109,2703,45000
W.P. Carey,92936U109,54375,905200
Wal-Mart Stores,931142103,83920,1098000
Walgreen,931422109,140974,2135000
Wellpoint Inc,94973V107,13340,134000
