Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,5740,30000
3M Company,88579Y101,33291,174000
Accenture,G1151C101,1199,10000
Accenture,G1151C101,16591,138400
Albemarle Corp,012653101,1585,15000
Alleghany Corporation,017175100,2660,4328
"Allergan, Inc.",G0177J108,6451,27000
Alphabet Inc,02079K107,61413,74031
Alphabet Inc Class A,02079K305,10597,12500
Amazon.com,023135106,52306,59000
American Express,025816109,791,10000
American Express,025816109,29745,376000
American Tower,03027X100,3585,29500
Analog Devices Inc,032654105,41041,500811
Anthem Inc,036752103,37045,224000
Aon Corporation,G0408V102,4392,37000
Apollo Global Management - A,037612306,10214,420000
Apple Inc,037833100,12944,90100
Archer Daniels,039483102,67370,1463300
Automatic Data Processing,053015103,54338,530700
Baxter International Inc,071813109,1141,22000
Becton Dickinson,075887109,1651,9000
Berkshire Hathaway Class B,084670702,80856,485100
Berkshire Hathaway Class B,084670702,171098,1026507
"Berkshire Hathaway, Inc.",084670108,68709,275
"Berkshire Hathaway, Inc.",084670108,203128,813
Blackrock Inc,09247X101,64621,168500
Blackstone Group,09253U108,17671,595000
Boeing Co,097023105,12274,69400
Bristol Myers Squibb,110122108,544,10000
Brookfield Asset Management,112585104,23517,645000
Brookfield Asset Management,112585104,168074,4609821
Brookfield Business Partners,G16234109,318,12900
Brookfield Business Partners,G16234109,2185,88694
Brown Forman Class A,115637100,39680,843000
Brown-Forman Class B,115637209,9732,210750
Bunge Limited,G16962105,5691,71800
CDK Global Inc,12508E101,11500,176897
CME Group Inc,12572Q105,16038,135000
CVS Corporation,126650100,20724,264000
Cable One,12685J105,3247,5200
Carmax,143130102,13917,235000
Carmax,143130102,277035,4678070
Caterpillar Inc,149123101,25787,278000
Charles Schwab,808513105,43136,1057000
Cisco,17275R102,11560,342000
Colfax Corporation,194014106,42600,1085070
Colfax Corporation,194014106,1963,50000
Comcast Corp- Class A,20030N101,7856,209000
Core Labs NV,N22717107,12707,110000
Costco,22160K105,838,5000
Costco,22160K105,5701,34000
Diageo PLC,25243Q205,37968,328500
Diageo PLC,25243Q205,116308,1006300
Discovery Communications,25470F302,26357,931000
Disney,254687106,188590,1663200
Dollar Tree Inc,256746108,3609,46000
Ecolab,278865100,25795,205800
Exxon Corporation,30231G102,16386,199800
Exxon Corporation,30231G102,61097,745000
Facebook,30303M102,11151,78500
Factset Research,303075105,27045,164000
Flowserve,34354P105,2130,44000
General Dynamics,369550108,72446,387000
Gilead Sciences Inc,375558103,1834,27000
Goldman Sachs,38141G104,3928,17100
Graham Holdings Co,384637104,3118,5200
"Hasbro, Inc",418056107,36334,364000
Healthcare Services Group,421906108,2370,55000
Heico Corp,422806109,262,3000
Heico Corp Class A,422806208,5287,70500
Hershey Foods,427866108,2633,24100
Hexcel Corp,428291108,1800,33000
Home Depot,437076102,2937,20000
Home Depot,437076102,132147,900000
IBM,459200101,1689,9700
Illinois Tool Works,452308109,30468,230000
Investors Title Company,461804106,33733,213300
JP Morgan,46625H100,16075,183000
John Deere,244199105,119245,1095400
Johnson and Johnson,478160104,6850,55000
Johnson and Johnson,478160104,69225,555800
