Name of Issuer,CUSIP,Value,Shares
AUTONATION INC,05329W102,94347,1898716
BERKSHIRE HATHAWAY INC DEL,084670702,9726639,82039804
BP PLC,055622104,355595,7315267
CANADIAN NATL RY CO,136375102,976574,17126874
CATERPILLAR INC DEL,149123101,1022598,11260857
COCA COLA CO,191216100,1404623,34002000
COCA COLA FEMSA SAB DE CV,191241108,756766,6214719
CROWN CASTLE INTL CORP,228227104,391595,5332900
ECOLAB INC,278865100,455287,4366425
EXXON MOBIL CORP,30231G102,824158,8143858
FEDEX CORP,31428X106,434904,3024999
GRUPO TELEVISA SA,40049J206,510762,16879103
LIBERTY GLOBAL PLC,G5480U104,188616,2119515
LIBERTY GLOBAL PLC,G5480U120,59573,706507
MCDONALD S CORP,580135101,1054959,10872500
REPUBLIC SVCS INC,760759100,44820,1350000
WAL-MART STORES INC,931142103,913040,11603000
WASTE MANAGEMENT INC DEL,94106L109,836093,18633672
