Name of Issuer,CUSIP,Value,Shares
ALLSTATE CORP,020002101,8473,90000
ALPHABET INC,02079K107,58784,40000
ALTRIA GROUP INC,02209S103,7728,200000
BK OF AMERICA CORP,060505104,8246,342300
CVS HEALTH CORP,126650100,26987,462100
CVS HEALTH CORP,126650100,8760,150000
DESIGNER BRANDS INC,250565108,6516,1200000
DISCOVERY INC,25470F104,10885,500000
FACEBOOK INC,30303M102,13095,50000
FACEBOOK INC,30303M102,11786,45000
FOOT LOCKER INC,344849104,5945,180000
GAMESTOP CORP NEW,36467W109,17375,1703400
GOLDMAN SACHS GROUP INC,38141G104,14791,73600
JPMORGAN CHASE & CO,46625H100,8279,86000
KIMBALL INTL INC,494274103,5797,550000
LAS VEGAS SANDS CORP,517834107,7139,153000
LIBERTY LATIN AMERICA LTD,G9001E102,410,49671
LUMEN TECHNOLOGIES INC,156700106,8072,800000
MSG NETWORK INC,553573106,8135,850000
NATIONAL OILWELL VARCO INC,637071101,1482,163600
PFIZER INC,717081103,15289,416600
PRECISION DRILLING CORP,74022D308,2880,4500000
QORVO INC,74736K101,7741,60000
QURATE RETAIL INC,74915M100,7898,1100000
RETAIL OPPORTUNITY INVTS COR,76131N101,5208,500000
RPT REALTY,74971D101,7344,1350000
TRIP COM GROUP LTD,89677Q107,7785,250000
UNITI GROUP INC,91325V108,10535,1000000
URSTADT BIDDLE PPTYS INC,917286205,460,50000
VIACOMCBS INC,92556H206,2409,86000
WESTERN DIGITAL CORP.,958102105,9869,270000
WESTERN DIGITAL CORP.,958102105,9138,250000
WYNN RESORTS LTD,983134107,5027,70000
