Name of Issuer,CUSIP,Value,Shares,Ratio
AT&T INC,00206R102,1932670,59320756,0.015169193803425891
AMERICAN EXPRESS CO,025816109,11238901,151610700,0.08821219732624662
BANK OF NEW YORK MELLON CORP,064058100,787393,20112212,0.00618011197796878
CHARTER COMMUNICATIONS INC D,16117M305,1808020,10281603,0.014190837432396674
CHICAGO BRIDGE & IRON CO N V,167250109,78653,1983190,0.0006173338439675975
COCA COLA CO,191216100,16047999,400000000,0.12595797885215007
COSTCO WHSL CORP NEW,22160K105,626474,4333363,0.004917086475604957
DAVITA HEALTHCARE PARTNERS I,23918K108,2789448,38565570,0.0218938966903707
DEERE & CO,244199105,1261857,17052110,0.009904098157062294
GENERAL ELECTRIC CO,369604103,266966,10585502,0.002095370131954962
GENERAL MTRS CO,37045V100,1501000,50000000,0.011781090356316528
GOLDMAN SACHS GROUP INC,38141G104,1904326,10959519,0.014946726631500883
GRAHAM HLDGS CO,384637104,62071,107575,0.0004871845832824271
INTERNATIONAL BUSINESS MACHS,459200101,11747419,81033450,0.09220346748335079
JOHNSON & JOHNSON,478160104,30535,327100,0.00023966395338449376
KRAFT HEINZ CO,500754106,22983305,325634818,0.18039200059412486
LEE ENTERPRISES INC,523768109,185,88863,1.452033121864462e-06
LIBERTY MEDIA CORP DELAWARE,531229102,278617,7800000,0.00218681682332168
LIBERTY MEDIA CORP DELAWARE,531229300,530210,15386257,0.0041615269272635485
M & T BK CORP,55261F104,656340,5382040,0.005151499563267681
MASTERCARD INC,57636Q104,471306,5229756,0.0036991995812619034
MEDIA GEN INC NEW,58441K100,48564,3471309,0.0003811704677309499
MONDELEZ INTL INC,609207105,24201,578000,0.0001899494788229289
MOODYS CORP,615369105,2422572,24669778,0.019014350184332073
NOW INC,67011P100,27018,1825569,0.00021205962641369748
PHILLIPS 66,718546104,4724655,61486926,0.03708300296963535
PRECISION CASTPARTS CORP,740189105,964963,4200792,0.007573828310128091
PROCTER & GAMBLE CO,742718109,3797934,52793078,0.029809329527865858
RESTAURANT BRANDS INTL INC,76131D103,303101,8438225,0.0023789875203796772
SANOFI,80105N105,185412,3905875,0.0014552668388709926
SUNCOR ENERGY INC NEW,867224107,801600,30000000,0.006291620272900285
TORCHMARK CORP,891027104,358350,6353727,0.002812627401189892
TWENTY FIRST CENTY FOX INC,90130A101,241522,8951869,0.0018956645603186411
US BANCORP DEL,902973304,3488441,85063167,0.027380172300918843
U S G CORP,903293405,1038234,39002016,0.00814891976349096
UNITED PARCEL SERVICE INC,911312106,5862,59400,4.600982789388906e-05
VERISIGN INC,92343E102,916222,12985000,0.007191268599896763
VERIZON COMMUNICATIONS INC,92343V104,652691,15000928,0.0051228591910423655
VERISK ANALYTICS INC,92345Y106,115553,1563434,0.0009069555855719145
VISA INC,92826C839,688600,9885160,0.0054047027444101
WABCO HLDGS INC,92927K102,373110,3559189,0.0029284760978316184
WAL MART STORES INC,931142103,3643055,56185293,0.028593710944723988
WELLS FARGO & CO NEW,949746101,24149513,470292359,0.1895453662318725
AXALTA COATING SYS LTD,G0750C108,587875,23199474,0.004614129575762544
LIBERTY GLOBAL PLC,G5480U104,513446,11957285,0.004029949179939571
LIBERTY GLOBAL PLC,G5480U120,301373,7346968,0.0023654247461386948
LIBERTY GLOBAL PLC,G5480U138,17422,517139,0.00013674227594120356
LIBERTY GLOBAL PLC,G5480U153,12578,367348,9.87225546314119e-05
