Name of Issuer,CUSIP,Value,Shares,Ratio
AMAZON COM INC,023135106,860637,483300,0.004314322250316301
AMERICAN AIRLS GROUP INC,02376R102,1387912,43700000,0.00695752056102747
AMERICAN EXPRESS CO,025816109,16571049,151610700,0.08306968607180693
APPLE INC,037833100,47409494,249589329,0.2376609823194183
BANK AMER CORP,060505104,24725263,896167600,0.12394627735714638
BANK OF NEW YORK MELLON CORP,064058100,4081666,80937250,0.020461149639347993
CHARTER COMMUNICATIONS INC N,16119P108,1981103,5710711,0.009931151871309711
COCA COLA CO,191216100,18744001,400000000,0.09396256560460567
COSTCO WHSL CORP NEW,22160K105,1049281,4333363,0.005259983436842873
DAVITA HEALTHCARE PARTNERS I,23918K108,2093725,38565570,0.010495719279491236
DELTA AIR LINES INC DEL,247361702,3662525,70910456,0.018360020658930203
GENERAL MTRS CO,37045V100,2681205,72269696,0.013440721685401998
GOLDMAN SACHS GROUP INC,38141G104,3523714,18353635,0.017664169346601477
JPMORGAN CHASE & CO,46625H100,6024697,59514932,0.03020144883210212
JOHNSON & JOHNSON,478160104,45725,327100,0.00022921671377794923
KRAFT HEINZ CO,500754106,10631977,325634818,0.05329747028764875
LIBERTY MEDIA CORP DELAWARE,531229409,567369,14860360,0.002844187155374112
LIBERTY MEDIA CORP DELAWARE,531229607,1188920,31090985,0.005959985464076094
M & T BK CORP,55261F104,845088,5382040,0.004236376035280034
MASTERCARD INC,57636Q104,1161888,4934756,0.005824475650913808
MONDELEZ INTL INC,609207105,28854,578000,0.00014464339112846248
MOODYS CORP,615369105,4467450,24669778,0.022395061956638585
PNC FINL SVCS GROUP INC,693475105,1063591,8671054,0.005331718618344512
PHILLIPS 66,718546104,528452,5552715,0.00264909854192203
PROCTER & GAMBLE CO,742718109,32817,315400,0.0001645096751460024
RED HAT INC,756577102,933683,5110471,0.004680497517120546
RESTAURANT BRANDS INTL INC,76131D103,549413,8438225,0.002754174792058708
SIRIUS XM HLDGS INC,82968B103,781982,137915729,0.003920029399092581
SOUTHWEST AIRLS CO,844741108,2784931,53649213,0.013960693973063706
STORE CAP CORP,862121100,623826,18621674,0.003127202748807938
SUNCOR ENERGY INC NEW,867224107,348882,10758000,0.001748924779360929
SYNCHRONY FINL,87165B103,663616,20803000,0.0033266676594962833
TEVA PHARMACEUTICAL INDS LTD,881624209,678149,43249295,0.0033995207267753414
TORCHMARK CORP,891027104,520688,6353727,0.0026101780702813084
TRAVELERS COMPANIES INC,89417E109,817253,5958391,0.004096840830730898
US BANCORP DEL,902973304,6231393,129308831,0.03123760362425186
U S G CORP,903293405,1688787,39002016,0.008465789095919553
UNITED CONTL HLDGS INC,910047109,1750265,21938642,0.008773974664637776
UNITED PARCEL SERVICE INC,911312106,6637,59400,3.32708874651558e-05
VERISIGN INC,92343E102,2351700,12952745,0.011788932658099579
VISA INC,92826C839,1649750,10562460,0.008270098929582761
WELLS FARGO & CO NEW,949746101,19801718,409803773,0.09926483820924363
AXALTA COATING SYS LTD,G0750C108,611696,24264000,0.0030663957780451925
LIBERTY GLOBAL PLC,G5480U104,493192,19791000,0.002472342252631478
LIBERTY GLOBAL PLC,G5480U120,177870,7346968,0.000891651763361046
STONECO LTD,G85158106,582395,14166748,0.0029195116024211864
LIBERTY LATIN AMERICA LTD,G9001E102,52505,2714854,0.0002632044517640508
LIBERTY LATIN AMERICA LTD,G9001E128,24974,1284020,0.00012519318118951349
