Name of Issuer,CUSIP,Value,Shares,Ratio
AECOM,00766T100,59595,2004571,0.011391531100533344
AERCAP HOLDINGS NV,N00985106,491376,12766308,0.0939260841690691
AMAYA INC,02314M108,64150,3962684,0.012262215288182129
AMERCO,023586100,71330,220000,0.013634665884739381
APPLE INC,037833100,586816,5194440,0.11216935505144014
ARRIS INTL INC,G0551A103,51895,1831800,0.009919682967735178
AVANGRID INC,05351W103,129301,3094800,0.024715770833628022
CALPINE CORP,131347304,142072,11239800,0.027156936093883265
CHEMOURS CO,163851108,261875,16367186,0.050057172698249344
CIGNA CORPORATION,125509109,56689,435000,0.010836051792233153
CNX COAL RES LP,12592V100,85071,5488438,0.016261245779905564
CONSOL ENERGY INC,20854P109,343154,17872616,0.06559358106002885
DILLARDS INC,254067101,121714,1931672,0.02326552255005144
DSW INC,23334L102,73195,3574000,0.013991158971449588
F M C CORP,302491303,34785,719600,0.006649121727192757
GENERAL MTRS CO,37045V100,540090,17000000,0.10323772182376129
GEO GROUP INC NEW,36162J106,6828,287133,0.0013051661104864782
GREEN BRICK PARTNERS INC,392709101,199220,24118668,0.038080725326759844
IAC INTERACTIVECORP,44919P508,63838,1021900,0.012202576766437582
LIBERTY GLOBAL PLC,G5480U104,42487,1243018,0.008121352158207236
LIBERTY GLOBAL PLC,G5480U120,108826,3294780,0.020801992844141987
MICHAEL KORS HLDGS LTD,G60754101,143501,3066902,0.02743008816943763
MYLAN N V,N59465109,243969,6400000,0.04663445676761506
PVH CORP,693656100,58473,529170,0.011177061801182754
QUORUM HEALTH CORP,74909E106,15686,2501800,0.002998364910528837
RITE AID CORP,767754104,103377,13443035,0.01976042135380209
TAKE-TWO INTERACTIVE SOFTWAR,874054109,62129,1378193,0.01187590294059965
TERRAFORM GLOBAL INC,88104M101,6715,1633791,0.0012835662612648948
TERRAFORM PWR INC,88104R100,21255,1528025,0.0040628742938474075
TIME WARNER INC,887317303,307559,3863309,0.05878962855523005
TRI POINTE GROUP INC,87265H109,27329,2073482,0.005223913976784559
UNITED STATES STL CORP NEW,912909108,58273,3089800,0.011138831979551633
VANECK VECTORS ETF TR,92189F106,215174,8141296,0.04113031819827438
VOYA FINL INC,929089100,148950,5168301,0.028471659659777524
YAHOO INC,984332106,188911,4383100,0.0361101691707837
YELP INC,985817105,95910,2300000,0.01833311096320418
