Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,28902,204000,0.008150976089398458
Aaron's Inc,002535300,4961,204000,0.001399107064545905
Accenture,G1151C101,10409,128000,0.0029355584428257054
Alleghany Corporation,017175100,1810,4328,0.0005104583323580101
American Express,025816109,30551,349000,0.008616029012082633
Anheuser-Busch Inbev ADR,03524A108,47111,425000,0.013286299721391278
Apollo Global Management - A,037612306,6556,275000,0.0018489308436127703
Archer Daniels,039483102,70314,1376000,0.01983003711680725
Automatic Data Processing,053015103,44091,530700,0.012434595763534267
Berkshire Hathaway Class B,084670702,208814,1511607,0.05888997028342846
"Berkshire Hathaway, Inc.",084670108,223038,1078,0.06290143952069936
Blackrock Inc,09247X101,33817,103000,0.009537110179751838
Blackstone Group,09253U108,12151,386000,0.003426839335073028
Brookfield Asset Management,112585104,147763,3286548,0.041672295339346216
Brown & Brown,115236101,11755,365628,0.0033151589485460823
Brown Forman Class A,115637100,37594,421500,0.010602304169429299
Brown-Forman Class B,115637209,9507,105375,0.0026811753401809954
CME Group Inc,12572q105,3598,45000,0.0010147121987978565
CVS Corporation,126650100,17351,218000,0.004893349461184438
Carlyle Group,14309L102,8833,290000,0.0024910930661427087
Carmax,143130102,230535,4963070,0.06501575229290268
Caterpillar Inc,149123101,23866,241000,0.006730717436495177
Charles Schwab,808513105,31065,1057000,0.008760987897625184
Chubb Corp,171232101,20402,224000,0.005753796075562498
Cisco,17275R102,579,23000,0.00016329026211894357
Coca Cola Co,191216100,5546,130000,0.0015640894537334387
Colfax Corporation,194014106,61816,1085070,0.017433421145327487
Copart Inc,217204106,22328,713000,0.006296968864579916
Core Labs NV,N22717107,1463,10000,0.0004125969835578833
Costco,22160K105,4888,39000,0.0013785195185447255
Culp Inc,230215105,549,30227,0.0001548296267759931
Diageo PLC,25243Q205,141942,1230000,0.040030650061635725
Disney,254687106,134836,1514500,0.038026607570068864
Ecolab,278865100,11598,101000,0.0032708816235846416
Emerson Electric,291011104,9888,158000,0.002788625409036466
Expeditors Int'l Wash Inc,302130109,5559,137000,0.0015677557290487171
Exxon Corporation,30231G102,81710,868800,0.023043950462416026
Factset Research,303075105,14097,116000,0.0039756525476524135
Fairfax Financial Holdings Ltd,303901102,124698,279459,0.03516747686650781
Federated Investors,314211103,62655,2134000,0.017670036913752
General Dynamics,369550108,49184,387000,0.013870929623589153
General Electric,369604103,73632,2874000,0.02076578338573757
Google Class A,38259P508,7355,12500,0.0020742657649133506
Google Class C,38259P706,7217,12500,0.0020353468423357783
Graham Holdings Co,384637104,3638,5200,0.0010259930459217905
"Hasbro, Inc",418056107,15454,281000,0.004358355286331872
Home Depot,437076102,84401,920000,0.02380286945267868
Illinois Tool Works,452308109,19417,230000,0.005476005215135625
Intel,458140100,34506,991000,0.0097314227714616
International Game Technology,459902102,3627,215000,0.0010228908129627087
Investors Title Company,461804106,15614,213300,0.004403478674827608
John Deere,244199105,44275,540000,0.012486487660304363
Johnson and Johnson,478160104,61204,574200,0.017260824184331298
KKR & Co LLC,48248M102,8898,399000,0.0025094244427191015
Laboratory Corp of America,50540R409,1526,15000,0.0004303643177780792
Liberty Media,531229102,13824,293000,0.0038986607660315645
Liberty Media Corp Class C,531229300,24247,516000,0.006838167505350647
Lowes,548661107,28576,540000,0.008059037185338395
MSCI,55354g100,4044,86000,0.0011404936442297197
Marriott International,571903202,93028,1330869,0.026235866156133127
Marsh & McLennan,571748102,12091,231000,0.003409918064387127
"Mastercard, Inc",57636Q104,5914,80000,0.0016678732472736307
Mattel,577081102,8766,286000,0.0024721976472101195
McDonalds,580135101,17161,181000,0.004839765437345752
McGraw Hill Financial,580645109,8361,99000,0.0023579790700802884
Microsoft Corp,594918104,37922,818000,0.010694807115845558
Monsanto Co,61166W101,5851,52000,0.0016501059130534347
Moody's Corp,615369105,22869,242000,0.006449542321931123
National Oilwell,637071101,32266,424000,0.0090996953325213
Nicholas Financial,65373j209,116,10000,3.271445665940838e-05
Nike,654106103,12756,143000,0.0035974621478225286
Norfolk Southern,655844108,10267,92000,0.00289551143553574
Novo-Nordisk A/S,670100205,51191,1075000,0.014436946128032539
Now Inc,67011P100,2843,93500,0.0008017862093336037
Oaktree Capital Group LLC,674001201,1788,35000,0.0005042538664398464
Oracle Corp,68389x105,24423,638000,0.006887803232695956
Patterson Companies Inc.,703395103,6422,155000,0.0018111400057475916
Paychex,704326107,6630,150000,0.001869800410792048
Pepsico,713448108,12502,134300,0.003525828768585548
Philip Morris International,718172109,9549,114500,0.002693020229661126
Procter & Gamble,742718109,10635,127000,0.002999295229075932
RLI Corporation,749607107,51830,1197272,0.014617157660837383
Rent-A-Center,76009N100,5281,174000,0.0014893538415373764
Ritchie Bros,767744105,1119,50000,0.00031558169829205157
"Rollins, Inc.",775711104,2547,87000,0.0007183079406164926
"Ross Stores, Inc",778296103,1738,23000,0.000490152807534929
SEI Investments Co,784117103,8570,237000,0.0024169214963028433
Schlumberger,806857108,33253,327000,0.00937805023530437
Sigma Aldrich,826552101,2448,18000,0.0006903878439847562
Starz Liberty Capital,85571Q102,397,12000,0.0001119624077050442
Synalloy Corporation,871565107,13665,785343,0.003853819398713927
T.Rowe Price,74144T108,19600,250000,0.005527615090727623
Target,87612E106,2068,33000,0.0005832197963073839
Teva Pharmaceuticals,881624209,23865,444000,0.0067304354153170775
The Travelers Companies Inc,89417e109,20103,214000,0.005669471743311092
Unilever PLC ADR,904767704,50154,1197000,0.014144490166344552
United Health Group Inc,91324P102,55545,644000,0.015664866337472747
United Parcel Service,911312106,71408,726500,0.020138568285646842
United Technologies,913017109,5597,53000,0.0015784725338164544
Visa,92826C839,38087,178500,0.010741340610231786
W.P. Carey,92936U109,60595,950200,0.017089073286869403
Wal-Mart Stores,931142103,83964,1098000,0.0236796261978497
Walgreen,931422109,126541,2135000,0.03568724189774307
Wellpoint Inc,94973V107,24522,205000,0.006915723329327692
