Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,33993,204000,0.009125010469079172
Aaron's Inc,002535300,8183,326000,0.00219662756062939
Accenture,G1151C101,16075,139300,0.004315139684359947
Alleghany Corporation,017175100,2148,4328,0.0005766046682429342
Alphabet Inc,02079K107,17157,23031,0.004605589521901314
Alphabet Inc Class A,02079K305,9536,12500,0.0025598240765198417
Amazon.com,023135106,5343,9000,0.0014342638465651757
American Express,025816109,23700,386000,0.006361978881451368
American Tower,03027X100,2047,20000,0.0005494924375667068
Analog Devices Inc,032654105,3315,56000,0.0008898717296207294
Anthem Inc,036752103,31134,224000,0.008357546434392698
Aon Corporation,G0408V102,3865,37000,0.0010375125897387992
Apollo Global Management - A,037612306,6625,387000,0.0017784012696040218
Apple Inc,037833100,2845,26100,0.0007637059037016516
Archer Daniels,039483102,51971,1431300,0.01395098752944764
Automatic Data Processing,053015103,47609,530700,0.012780061289747603
Baxter International Inc,071813109,904,22000,0.00024266788644860916
Becton Dickinson,075887109,1366,9000,0.00036668620894778775
Berkshire Hathaway Class B,084670702,214467,1511607,0.05757107699444011
"Berkshire Hathaway, Inc.",084670108,231380,1084,0.0621111676620345
Blackrock Inc,09247X101,51767,152000,0.013896226192240211
Blackstone Group,09253U108,13660,487000,0.0036668620894778777
Boeing Co,097023105,647,5100,0.0001736793390843475
Bristol Myers Squibb,110122108,639,10000,0.0001715318356644483
Brookfield Asset Management,112585104,175621,5048021,0.04714333726326459
Brown Forman Class A,115637100,44970,421500,0.012071653599108357
Brown-Forman Class B,115637209,10376,105375,0.0027853119356092576
Bunge Limited,G16962105,669,11800,0.00017958497348907027
CDK Global Inc,12508E101,8235,176897,0.002210586332858735
CME Group Inc,12572Q105,11142,116000,0.0029909353880646053
CR Bard,067383109,1824,9000,0.0004896307797370167
CSX Corporation,126408103,2317,90000,0.0006219706779883047
CVS Corporation,126650100,25621,247000,0.006877648140154663
Cable One,12685J105,2273,5200,0.0006101594091788591
Capital One Financial Corp,14040H105,8733,126000,0.00234426842074746
Carbo Ceramics Inc,140781105,3053,215000,0.0008195409926190307
Carmax,143130102,251057,4913070,0.06739322076120406
Caterpillar Inc,149123101,21278,278000,0.005711822221076887
Charles Schwab,808513105,29617,1057000,0.007950326098394312
Cisco,17275R102,1794,63000,0.0004815776419123947
Colfax Corporation,194014106,32451,1135070,0.008711079184893602
Copart Inc,217204106,39343,965000,0.01056115338113676
Core Labs NV,N22717107,12365,110000,0.003319234973381695
Costco,22160K105,6146,39000,0.0016498195023375575
Culp Inc,230215105,793,30227,0.00021287127649750783
Cummins Inc.,231021106,4123,37500,0.0011067695750305482
Diageo PLC,25243Q205,138796,1286700,0.0372581105835411
Discovery Communications,25470F302,19926,738000,0.0053488941431139225
Disney,254687106,158022,1591200,0.04241909817741385
Ecolab,278865100,18066,162000,0.00484959959798736
Emerson Electric,291011104,8592,158000,0.0023064186729717367
Exxon Corporation,30231G102,78976,944800,0.021200153761244865
Facebook,30303M102,1597,14000,0.000428695370197377
Factset Research,303075105,24851,164000,0.006670950935989365
Federated Investors,314211103,21320,739000,0.0057230966140313574
General Dynamics,369550108,50840,387000,0.013647384233459391
Genesee and Wyoming,371559105,690,11000,0.00018522216996630567
Goldman Sachs,38141G104,565,3600,0.00015166742903038074
Graham Holdings Co,384637104,2496,5200,0.0006700210670085492
Halliburton,406216101,8716,244000,0.0023397049759801745
Harley Davidson,412822108,14988,292000,0.004023347657181144
"Hasbro, Inc",418056107,29156,364000,0.007826576213822621
Hershey Foods,427866108,1510,16400,0.0004053412705059733
Home Depot,437076102,122756,920000,0.032952366226643215
Illinois Tool Works,452308109,23561,230000,0.00632466600953062
Investors Title Company,461804106,19425,213300,0.005214406741442736
JP Morgan,46625H100,10837,183000,0.0029090618201809484
John Deere,244199105,84104,1092400,0.022576703453400248
Johnson and Johnson,478160104,66089,610800,0.017740794189714748
KKR & Co LLC,48248M102,7830,533000,0.0021018689722263383
Liberty Broadband A,530307107,5016,86250,0.001346484644276796
Liberty Broadband Class C,530307305,9974,172113,0.0026773998887593227
Liberty Global PLC,G5480U104,4543,118000,0.0012195135045752561
Liberty Media,531229102,16456,426000,0.004417414534732647
Liberty Media Corp Class C,531229300,19883,522000,0.005337351312231965
Linear Technology Corp,535678106,2941,66000,0.000789475944740442
Live Nation,538034109,745,33400,0.00019998625597811265
Lowes,548661107,40905,540000,0.010980453423872077
MSCI,55354G100,10149,137000,0.0027243765260696177
Marriott International,571903202,103337,1451769,0.027739570112765406
Marsh & McLennan,571748102,35836,589500,0.009619741569438449
"Mastercard, Inc",57636Q104,13570,143600,0.0036427026760040117
Mattel,577081102,21382,636000,0.0057397397655355765
Maxim Integrated Products,57772K101,736,20000,0.00019757031463072606
McGraw Hill Financial,580645109,14550,147000,0.0039057718449416632
Mead Johnson Nutrition,582839106,2447,28800,0.0006568676085616667
Microsoft Corp,594918104,3535,64000,0.0009489280736679573
Monsanto Co,61166W101,34806,396700,0.009343250504126427
Moody's Corp,615369105,28002,290000,0.007516798845502161
National Oilwell,637071101,18971,610000,0.005092535922363456
Nike,654106103,19670,320000,0.005280174033677148
Norfolk Southern,655844108,17358,208500,0.004659545545326281
Novartis AG-Sponsored ADR,66987V109,268,3700,7.194136456662307e-05
Novo-Nordisk A/S,670100205,58254,1075000,0.01563758302785097
Now Inc,67011P100,2100,118500,0.000563719647723539
Oaktree Capital Group LLC,674001201,29080,589500,0.007806174931333578
Oracle Corp,68389X105,26101,638000,0.007006498345348615
Paccar,693718108,6470,118300,0.001736793390843475
Parker-Hannifin Corp,701094104,5132,46200,0.0013776234438653344
Patterson Companies Inc.,703395103,7817,168000,0.002098379279169002
Paychex,704326107,8101,150000,0.0021746156505754234
Pepsico,713448108,14275,139300,0.0038319514148826284
Philip Morris International,718172109,11234,114500,0.0030156316773934464
Praxair Inc.,74005P104,1625,14200,0.00043621163216702423
Procter & Gamble,742718109,10453,127000,0.002805981656025787
RLI Corporation,749607107,80050,1197272,0.021488456095366332
Rent-A-Center,76009N100,3772,238000,0.001012547862482471
Ritchie Bros,767744105,2952,109000,0.0007924287619428034
Rockwell  Automation Inc,773903109,5710,50200,0.0015327805659530512
"Rollins, Inc.",775711104,8193,302100,0.0021993119399042645
"Ross Stores, Inc",778296103,2663,46000,0.0007148502008989449
SEI Investments Co,784117103,10332,240000,0.002773500666799812
Schlumberger,806857108,48859,662500,0.013115608699106853
Synalloy Corporation,871565107,5469,690481,0.001468087025428588
T.Rowe Price,74144T108,20936,285000,0.0056200164498761964
Texas Instruments Inc,882508104,3158,55000,0.0008477269750052077
The Carlyle Group,14309L102,6735,399000,0.0018079294416276357
The Travelers Companies Inc,89417E109,36764,315000,0.009868851966146756
Unilever PLC ADR,904767704,68940,1525900,0.018506110720981322
