Name of Issuer,CUSIP,Value,Shares,Ratio
AUTONATION INC,05329W102,82385,1898716,0.004628481558041782
BERKSHIRE HATHAWAY INC DEL,084670702,8347147,74581373,0.46895206593146554
BP PLC,055622104,297731,7133001,0.01672686099116754
CANADIAN NATL RY CO,136375102,832966,8563437,0.04679696266888185
CATERPILLAR INC DEL,149123101,887663,10760857,0.049869901380785855
COCA COLA CO,191216100,1363820,34002000,0.07662093486057588
COCA COLA FEMSA SAB DE CV,191241108,871863,6214719,0.04898223968730937
CROWN CASTLE INTL CORP,228227104,386049,5332900,0.021688665133221728
DIAMOND FOODS INC,252603105,9154,441163,0.0005142819710179581
ECOLAB INC,278865100,371976,4366425,0.020898028233709412
EXXON MOBIL CORP,30231G102,690623,7643858,0.03879997352745633
FEDEX CORP,31428X106,298204,3024999,0.016753434660851996
GRUPO TELEVISA SA,40049J206,419277,16879103,0.023555451383274677
LIBERTY GLOBAL PLC,G5480U104,157014,2119515,0.008821222350602323
LIBERTY GLOBAL PLC,G5480U120,47965,706507,0.0026947274131392134
MCDONALD S CORP,580135101,977378,9872500,0.05491019054725692
PROCTER & GAMBLE CO,742718109,115485,1500000,0.006488076624755177
REPUBLIC SVCS INC,760759100,45819,1350000,0.002574162729961964
TOYOTA MOTOR CORP,892331307,18497,153300,0.0010391821736857297
WAL-MART STORES INC,931142103,827062,11103000,0.046465269337344815
WASTE MGMT INC DEL,94106L109,751496,18633672,0.04221988683549393
