Name of Issuer,CUSIP,Value,Shares,Ratio
AGILENT TECHNOLOGIES INC,00846U101,904317,12626593,0.13758068241048144
BERKSHIRE HATHAWAY INC DEL,084670702,997038,5453360,0.15168703942221765
BLACKSTONE GROUP INC,09260D107,24996,548526,0.003802833229423304
CHIPOTLE MEXICAN GRILL INC,169656105,759910,1161232,0.1156109377248785
HILTON WORLDWIDE HLDGS INC,43300A203,941002,13789589,0.14316185287861208
HOWARD HUGHES CORP,44267D107,616212,12197389,0.09374905864815943
LOWES COS INC,548661107,1054320,12252414,0.16040178950414377
PARK HOTELS RESORTS INC,700517105,5362,677888,0.0008157621929975898
RESTAURANT BRANDS INTL INC,76131D103,603825,15084304,0.09186452931495145
STARBUCKS CORP,855244109,666012,10131008,0.1013255146741348
