Name of Issuer,CUSIP,Value,Shares,Ratio
ALLSTATE CORP,020002101,8473,90000,0.025654922668862865
ALPHABET INC,02079K107,58784,40000,0.17798878486562428
ALTRIA GROUP INC,02209S103,7728,200000,0.023399178848692578
BK OF AMERICA CORP,060505104,8246,342300,0.024967602068623057
CVS HEALTH CORP,126650100,35747,612100,0.10823634139547277
DESIGNER BRANDS INC,250565108,6516,1200000,0.019729431855341723
DISCOVERY INC,25470F104,10885,500000,0.03295808252691754
FACEBOOK INC,30303M102,24881,95000,0.07533578790557971
FOOT LOCKER INC,344849104,5945,180000,0.01800053290055349
GAMESTOP CORP NEW,36467W109,17375,1703400,0.05260879043685734
GOLDMAN SACHS GROUP INC,38141G104,14791,73600,0.044784841401528455
JPMORGAN CHASE & CO,46625H100,8279,86000,0.025067520922402414
KIMBALL INTL INC,494274103,5797,550000,0.017552411980573352
LAS VEGAS SANDS CORP,517834107,7139,153000,0.021615778700933785
LIBERTY LATIN AMERICA LTD,G9001E102,410,49671,0.0012414160621071373
LUMEN TECHNOLOGIES INC,156700106,8072,800000,0.024440757203241004
MSG NETWORK INC,553573106,8135,850000,0.024631511378637956
NATIONAL OILWELL VARCO INC,637071101,1482,163600,0.0044872648879092135
PFIZER INC,717081103,15289,416600,0.04629270774038054
PRECISION DRILLING CORP,74022D308,2880,4500000,0.00872019087528916
QORVO INC,74736K101,7741,60000,0.023438540821393534
QURATE RETAIL INC,74915M100,7898,1100000,0.02391391233785895
RETAIL OPPORTUNITY INVTS COR,76131N101,5208,500000,0.015769011832814563
RPT REALTY,74971D101,7344,1350000,0.022236486731987356
TRIP COM GROUP LTD,89677Q107,7785,250000,0.023571765959766008
UNITI GROUP INC,91325V108,10535,1000000,0.031898337108045585
URSTADT BIDDLE PPTYS INC,917286205,460,50000,0.0013928082648031297
VIACOMCBS INC,92556H206,2409,86000,0.007294076325892911
WESTERN DIGITAL CORP.,958102105,19007,520000,0.05755023193285453
WYNN RESORTS LTD,983134107,5027,70000,0.015220972059055071
