"holding_id";"form_id";"hedge_id";"cusip";"shares";"value"
"0000950123-14-001627-009158106";"0000950123-14-001627";"0001096343";"009158106";25000;2794
"0000950123-14-001627-017175100";"0000950123-14-001627";"0001096343";"017175100";4328;1731
"0000950123-14-001627-01861G100";"0000950123-14-001627";"0001096343";"01861G100";166500;9762
"0000950123-14-001627-023135106";"0000950123-14-001627";"0001096343";"023135106";15700;6261
"0000950123-14-001627-025816109";"0000950123-14-001627";"0001096343";"025816109";352500;31982
"0000950123-14-001627-03524A108";"0000950123-14-001627";"0001096343";"03524A108";411600;43819
"0000950123-14-001627-037604105";"0000950123-14-001627";"0001096343";"037604105";105000;2869
"0000950123-14-001627-037612306";"0000950123-14-001627";"0001096343";"037612306";155300;4909
"0000950123-14-001627-039380100";"0000950123-14-001627";"0001096343";"039380100";246000;1095
"0000950123-14-001627-039483102";"0000950123-14-001627";"0001096343";"039483102";1383800;60057
"0000950123-14-001627-053015103";"0000950123-14-001627";"0001096343";"053015103";532100;42993
"0000950123-14-001627-064058100";"0000950123-14-001627";"0001096343";"064058100";111603;3899
"0000950123-14-001627-084670108";"0000950123-14-001627";"0001096343";"084670108";1094;194622
"0000950123-14-001627-084670702";"0000950123-14-001627";"0001096343";"084670702";1527257;181071
"0000950123-14-001627-09247X101";"0000950123-14-001627";"0001096343";"09247X101";59400;18798
"0000950123-14-001627-09253U108";"0000950123-14-001627";"0001096343";"09253U108";294400;9274
"0000950123-14-001627-112585104";"0000950123-14-001627";"0001096343";"112585104";3217573;124938
"0000950123-14-001627-115236101";"0000950123-14-001627";"0001096343";"115236101";365628;11477
"0000950123-14-001627-115637100";"0000950123-14-001627";"0001096343";"115637100";425490;31388
"0000950123-14-001627-115637209";"0000950123-14-001627";"0001096343";"115637209";106372;8039
"0000950123-14-001627-131476103";"0000950123-14-001627";"0001096343";"131476103";52000;1353
"0000950123-14-001627-14040H105";"0000950123-14-001627";"0001096343";"14040H105";187400;14357
"0000950123-14-001627-14309L102";"0000950123-14-001627";"0001096343";"14309L102";196000;6982
"0000950123-14-001627-143130102";"0000950123-14-001627";"0001096343";"143130102";5026288;236336
"0000950123-14-001627-149123101";"0000950123-14-001627";"0001096343";"149123101";242000;21976
"0000950123-14-001627-166764100";"0000950123-14-001627";"0001096343";"166764100";95000;11866
"0000950123-14-001627-191216100";"0000950123-14-001627";"0001096343";"191216100";131900;5449
"0000950123-14-001627-194014106";"0000950123-14-001627";"0001096343";"194014106";1085070;69108
"0000950123-14-001627-217204106";"0000950123-14-001627";"0001096343";"217204106";280000;10262
"0000950123-14-001627-22160K105";"0000950123-14-001627";"0001096343";"22160K105";39300;4677
"0000950123-14-001627-25243Q205";"0000950123-14-001627";"0001096343";"25243Q205";1210820;160337
"0000950123-14-001627-254687106";"0000950123-14-001627";"0001096343";"254687106";1508500;115249
"0000950123-14-001627-26874R108";"0000950123-14-001627";"0001096343";"26874R108";167000;8098
"0000950123-14-001627-278865100";"0000950123-14-001627";"0001096343";"278865100";56400;5881
"0000950123-14-001627-291011104";"0000950123-14-001627";"0001096343";"291011104";162900;11432
"0000950123-14-001627-293792107";"0000950123-14-001627";"0001096343";"293792107";6300;418
"0000950123-14-001627-302130109";"0000950123-14-001627";"0001096343";"302130109";137000;6062
"0000950123-14-001627-30231G102";"0000950123-14-001627";"0001096343";"30231G102";877266;88780
"0000950123-14-001627-303075105";"0000950123-14-001627";"0001096343";"303075105";56000;6080
"0000950123-14-001627-303901102";"0000950123-14-001627";"0001096343";"303901102";279459;111800
"0000950123-14-001627-314211103";"0000950123-14-001627";"0001096343";"314211103";2155700;62084
"0000950123-14-001627-31620R105";"0000950123-14-001627";"0001096343";"31620R105";79700;2586
"0000950123-14-001627-369550108";"0000950123-14-001627";"0001096343";"369550108";398400;38067
"0000950123-14-001627-369604103";"0000950123-14-001627";"0001096343";"369604103";2598300;72830
"0000950123-14-001627-38259P508";"0000950123-14-001627";"0001096343";"38259P508";12500;14009
"0000950123-14-001627-384637104";"0000950123-14-001627";"0001096343";"384637104";5300;3516
"0000950123-14-001627-418056107";"0000950123-14-001627";"0001096343";"418056107";218800;12036
"0000950123-14-001627-42726M106";"0000950123-14-001627";"0001096343";"42726M106";259500;5317
"0000950123-14-001627-437076102";"0000950123-14-001627";"0001096343";"437076102";935900;77062
"0000950123-14-001627-452308109";"0000950123-14-001627";"0001096343";"452308109";241200;20280
"0000950123-14-001627-458140100";"0000950123-14-001627";"0001096343";"458140100";998700;25921
"0000950123-14-001627-459200101";"0000950123-14-001627";"0001096343";"459200101";24200;4539
"0000950123-14-001627-459902102";"0000950123-14-001627";"0001096343";"459902102";1031700;18736
"0000950123-14-001627-461804106";"0000950123-14-001627";"0001096343";"461804106";216100;17500
"0000950123-14-001627-478160104";"0000950123-14-001627";"0001096343";"478160104";580600;53177
"0000950123-14-001627-48248M102";"0000950123-14-001627";"0001096343";"48248M102";290000;7059
"0000950123-14-001627-531229102";"0000950123-14-001627";"0001096343";"531229102";134000;19603
"0000950123-14-001627-540424108";"0000950123-14-001627";"0001096343";"540424108";235000;11336
"0000950123-14-001627-548661107";"0000950123-14-001627";"0001096343";"548661107";560400;27768
"0000950123-14-001627-55354g100";"0000950123-14-001627";"0001096343";"55354g100";5000;219
"0000950123-14-001627-571903202";"0000950123-14-001627";"0001096343";"571903202";1342533;66255
"0000950123-14-001627-57636Q104";"0000950123-14-001627";"0001096343";"57636Q104";8000;6684
"0000950123-14-001627-577081102";"0000950123-14-001627";"0001096343";"577081102";185500;8826
"0000950123-14-001627-580135101";"0000950123-14-001627";"0001096343";"580135101";184700;17921
"0000950123-14-001627-580645109";"0000950123-14-001627";"0001096343";"580645109";30000;2346
"0000950123-14-001627-594918104";"0000950123-14-001627";"0001096343";"594918104";825100;30867
"0000950123-14-001627-61166W101";"0000950123-14-001627";"0001096343";"61166W101";35700;4161
"0000950123-14-001627-615369105";"0000950123-14-001627";"0001096343";"615369105";177400;13921
"0000950123-14-001627-61945c103";"0000950123-14-001627";"0001096343";"61945c103";155000;7327
"0000950123-14-001627-637071101";"0000950123-14-001627";"0001096343";"637071101";242000;19246
"0000950123-14-001627-654106103";"0000950123-14-001627";"0001096343";"654106103";120400;9468
"0000950123-14-001627-655844108";"0000950123-14-001627";"0001096343";"655844108";94400;8763
"0000950123-14-001627-665859104";"0000950123-14-001627";"0001096343";"665859104";140000;8665
"0000950123-14-001627-670100205";"0000950123-14-001627";"0001096343";"670100205";221200;40869
"0000950123-14-001627-682680103";"0000950123-14-001627";"0001096343";"682680103";10000;622
"0000950123-14-001627-68389x105";"0000950123-14-001627";"0001096343";"68389x105";641500;24544
"0000950123-14-001627-703395103";"0000950123-14-001627";"0001096343";"703395103";145000;5974
"0000950123-14-001627-704326107";"0000950123-14-001627";"0001096343";"704326107";150900;6870
"0000950123-14-001627-704549104";"0000950123-14-001627";"0001096343";"704549104";260000;5078
"0000950123-14-001627-713448108";"0000950123-14-001627";"0001096343";"713448108";130300;10807
"0000950123-14-001627-718172109";"0000950123-14-001627";"0001096343";"718172109";114500;9976
"0000950123-14-001627-73755L107";"0000950123-14-001627";"0001096343";"73755L107";80000;2637
"0000950123-14-001627-74144T108";"0000950123-14-001627";"0001096343";"74144T108";250500;20984
"0000950123-14-001627-742718109";"0000950123-14-001627";"0001096343";"742718109";41900;3411
"0000950123-14-001627-749607107";"0000950123-14-001627";"0001096343";"749607107";601260;58551
"0000950123-14-001627-775711104";"0000950123-14-001627";"0001096343";"775711104";47000;1424
"0000950123-14-001627-778296103";"0000950123-14-001627";"0001096343";"778296103";23000;1723
"0000950123-14-001627-784117103";"0000950123-14-001627";"0001096343";"784117103";200000;6946
"0000950123-14-001627-806857108";"0000950123-14-001627";"0001096343";"806857108";174000;15679
"0000950123-14-001627-808513105";"0000950123-14-001627";"0001096343";"808513105";999700;25992
"0000950123-14-001627-85571Q102";"0000950123-14-001627";"0001096343";"85571Q102";12000;351
"0000950123-14-001627-871565107";"0000950123-14-001627";"0001096343";"871565107";785343;12063
