Name of Issuer,CUSIP,Value,Shares
AMAZON COM INC,23135106,"1,157,325","419,500"
AMAZON COM INC,23135106,"313,954","113,800"
AMERICAN EXPRESS CO,25816109,"185,844","1,952,142"
AMERICAN EXPRESS CO,25816109,"1,639,858","17,225,400"
AMERICAN EXPRESS CO,25816109,"79,952","839,832"
AMERICAN EXPRESS CO,25816109,"195,836","2,057,100"
AMERICAN EXPRESS CO,25816109,"761,089","7,994,634"
AMERICAN EXPRESS CO,25816109,"11,437,507","120,141,879"
AMERICAN EXPRESS CO,25816109,"133,253","1,399,713"
APPLE INC,37833100,"63,110","173,000"
APPLE INC,37833100,"350,208","960,000"
APPLE INC,37833100,"2,212,512","6,065,000"
APPLE INC,37833100,"6,265,370","17,174,807"
APPLE INC,37833100,"248,429","681,000"
APPLE INC,37833100,"5,612,721","15,385,747"
APPLE INC,37833100,"1,108,262","3,038,000"
APPLE INC,37833100,"4,362,278","11,958,000"
APPLE INC,37833100,"68,618,155","188,098,012"
APPLE INC,37833100,"247,334","678,000"
APPLE INC,37833100,"344,371","944,000"
BANK AMER CORP,60505104,"93,100","3,920,000"
BANK AMER CORP,60505104,"282,625","11,900,000"
BANK AMER CORP,60505104,"197,303","8,307,500"
BANK AMER CORP,60505104,"3,325,000","140,000,000"
BANK AMER CORP,60505104,"727,415","30,628,000"
BANK AMER CORP,60505104,"49,875","2,100,000"
BANK AMER CORP,60505104,"7,404,775","311,780,000"
BANK AMER CORP,60505104,"284,976","11,999,000"
BANK AMER CORP,60505104,"410,281","17,275,000"
BANK AMER CORP,60505104,"8,295,854","349,299,100"
BANK AMER CORP,60505104,"665,000","28,000,000"
BANK AMER CORP,60505104,"232,750","9,800,000"
BANK OF NEW YORK MELLON CORP,64058100,"290,310","7,511,249"
BANK OF NEW YORK MELLON CORP,64058100,"83,020","2,148,000"
BANK OF NEW YORK MELLON CORP,64058100,"69,335","1,793,915"
BANK OF NEW YORK MELLON CORP,64058100,"17,663","457,000"
BANK OF NEW YORK MELLON CORP,64058100,"29,992","776,000"
BANK OF NEW YORK MELLON CORP,64058100,"250,853","6,490,384"
BANK OF NEW YORK MELLON CORP,64058100,"282,879","7,319,000"
BANK OF NEW YORK MELLON CORP,64058100,"103,666","2,682,169"
BANK OF NEW YORK MELLON CORP,64058100,"1,586,186","41,039,736"
BANK OF NEW YORK MELLON CORP,64058100,"82,711","2,140,000"
BARRICK GOLD CORPORATION,67901108,"130,524","4,845,000"
BARRICK GOLD CORPORATION,67901108,"433,026","16,073,701"
BIOGEN INC,09062X103,"125,300","468,322"
